DELTA_E_AI,RECOMB_STRENGTH,INITAL_NAME,TRANSIENT_NAME,CHARGE_STATE
14568.0,0.012862527042730425,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)0 2p-2 2p+3(3)3,38
14651.0,0.00011642992329735987,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+4,38
14677.0,0.00044662948955735606,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+4,38
14722.0,3.7404990956168776e-05,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+4,38
14884.0,0.00010268994754103998,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2p-2 2p+4,38
13923.0,4.17316302405421,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-2 2p+1(3)4,39
13953.0,3.8477600523962274,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-2 2p+1(3)2,39
14060.0,3.278048123020999,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)0 2p+2(4)4,39
14077.0,3.0031443474387407,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)6,39
14091.0,1.131082365422699,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)2,39
14107.0,2.1339852274368765,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)4,39
14110.0,0.4264458467104974,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)0 2p+2(0)0,39
14112.0,1.2807205304214377,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(0)2,39
14165.0,0.0,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)6,39
14213.0,5.95579819897828e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)4,39
14228.0,0.002452630922174822,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(0)2,39
14240.0,0.01236263117854135,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p+3(3)4,39
14255.0,0.00031579935060929243,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)2,39
14263.0,0.02503738044195861,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p+3(3)2,39
14266.0,1.3000999909637969e-06,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-2 2p+2(4)4,39
14297.0,0.010248520148936844,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-2 2p+2(0)0,39
14331.0,0.00026812948014577143,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+3(3)4,39
14355.0,0.0,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)6,39
14367.0,0.0008149551974166251,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+3(3)2,39
14391.0,0.0013667914362226116,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)4,39
14408.0,0.0024985796021388296,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)0,39
14410.0,0.006481405225997015,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)2,39
14427.0,0.005263139793709385,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+3(3)2,39
14433.0,0.01155914735014915,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+3(3)4,39
14546.0,0.0002836393591773522,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p+4,39
14551.0,4.040499905744376e-06,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-2 2p+3(3)4,39
14575.0,8.512099560156967e-06,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-2 2p+3(3)2,39
14594.0,4.149494567034148e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p+4,39
14709.0,4.982992854139428e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-1(1)0 2p+4,39
14713.0,0.0001497898504330073,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-1(1)2 2p+4,39
13656.0,1.2221648075057399,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-2,40
13789.0,0.11938910784261057,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)0 2p+1(3)3,40
13803.0,8.633058642905103,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)5,40
13819.0,0.08812931507115672,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)1,40
13830.0,8.038464254200214,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)3,40
13863.0,6.563699999636093e-09,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+1(3)5,40
13917.0,0.006867142019031777,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+1(3)3,40
13941.0,0.017141765091131765,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+1(3)1,40
13952.0,7.109117161920184,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p+2(4)5,40
13966.0,0.10343675006029002,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-2 2p+1(3)3,40
13983.0,3.404192052208379,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p+2(4)3,40
13995.0,1.980139530913934,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p+2(0)1,40
14004.0,8.187199999617214e-09,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+2(4)5,40
14054.0,0.004444439641711444,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+2(4)3,40
14073.0,0.00018560960775246632,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+2(0)1,40
14077.0,4.927999999456603e-08,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)5,40
14091.0,0.013857202038857819,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(0)3,40
14107.0,0.001735688613468491,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)3,40
14108.0,0.0011397939700300201,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)1,40
14117.0,0.00017597986757888698,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+2(4)3,40
14123.0,2.9331999970791904e-07,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+2(4)5,40
14150.0,0.026982525779555518,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+2(0)1,40
14205.0,2.7377997158736762e-05,1s+2 2s+2(0)0,1s+1(1)1 2p-2 2p+2(4)5,40
14212.0,4.352799999936783e-09,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p+3(3)5,40
14238.0,2.4610998510414515e-05,1s+2 2s+2(0)0,1s+1(1)1 2p-2 2p+2(4)3,40
14250.0,0.003425263476365283,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p+3(3)3,40
14254.0,0.0020015693102304953,1s+2 2s+2(0)0,1s+1(1)1 2p-2 2p+2(0)1,40
14282.0,0.007351929179950444,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p+3(3)1,40
14291.0,0.02903773634354085,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p+3(3)3,40
14359.0,1.770199855369239e-05,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)0 2p+3(3)3,40
14374.0,7.184899864971359e-06,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)2 2p+3(3)5,40
14384.0,1.419299907712174e-05,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)2 2p+3(3)1,40
14397.0,9.61449768019061e-05,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)2 2p+3(3)3,40
14551.0,0.00036524916818108483,1s+2 2s+2(0)0,1s+1(1)1 2p+4,40
13452.0,0.15702625568970632,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p-1(1)0,41
13453.0,1.9492929060865836,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p-1(1)2,41
13510.0,0.4552476402304586,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-2,41
13583.0,0.18282067678073718,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p-2,41
13602.0,1.655927845276263,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p+1(3)4,41
13626.0,0.24231424467873494,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+1(3)4,41
13630.0,0.5493986727867296,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p+1(3)2,41
13651.0,4.273829506205815,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)6,41
13683.0,0.7976977046324945,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+1(3)2,41
13699.0,5.10188984796207,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)4,41
13719.0,3.0496382986850197,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)2,41
13724.0,0.006325657763856861,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)0,41
13736.0,0.20485343375443246,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+1(3)2,41
13743.0,4.495661785030832,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+1(3)4,41
13799.0,0.09022677893102729,1s+2 2s+1(1)1,1s+1(1)1 2p-2 2p+1(3)4,41
13807.0,5.437398001408317,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(4)6,41
13830.0,0.0200737988911056,1s+2 2s+1(1)1,1s+1(1)1 2p-2 2p+1(3)2,41
13857.0,2.514718227953378,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(4)4,41
13878.0,1.1221868115747626,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(0)2,41
13901.0,0.7462002859999242,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(4)2,41
13904.0,2.4131334226494743,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p+2(4)4,41
13934.0,0.0028115857539745713,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)0 2p+2(4)4,41
13935.0,0.4035282016612042,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p+2(0)0,41
13966.0,3.246599321617026e-05,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)2 2p+2(4)2,41
13983.0,0.0006087883570300493,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)2 2p+2(4)4,41
13994.0,0.0074448944264842885,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)0 2p+2(0)0,41
13996.0,0.014422786450119804,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)2 2p+2(0)2,41
14127.0,0.016861492427263418,1s+2 2s+1(1)1,1s+1(1)1 2p+3(3)4,41
14152.0,0.0028736414843053156,1s+2 2s+1(1)1,1s+1(1)1 2p+3(3)2,41
13286.0,2.615764221037009,1s+2(0)0,1s+1(1)1 2s+2,42
13309.0,0.009989567179819895,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1,42
13323.0,0.5921800239182758,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3,42
13387.0,3.6709991613920434,1s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1,42
13431.0,0.10982535967775203,1s+2(0)0,1s+1(1)1 2p-2,42
13461.0,0.0,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p+1(3)5,42
13513.0,0.46961602844339384,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p+1(3)3,42
13541.0,1.9540995292477523,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p+1(3)1,42
13557.0,5.730884010138628,1s+2(0)0,1s+1(1)1 2s+1(1)0 2p+1(3)3,42
13561.0,0.1356884495344846,1s+2(0)0,1s+1(1)1 2p-1(1)0 2p+1(3)3,42
13575.0,9.620972615303074,1s+2(0)0,1s+1(1)1 2p-1(1)2 2p+1(3)5,42
13592.0,0.042515837838976105,1s+2(0)0,1s+1(1)1 2p-1(1)2 2p+1(3)1,42
13603.0,8.952401052804994,1s+2(0)0,1s+1(1)1 2p-1(1)2 2p+1(3)3,42
13732.0,7.747522058574322,1s+2(0)0,1s+1(1)1 2p+2(4)5,42
13765.0,3.7231107638227265,1s+2(0)0,1s+1(1)1 2p+2(4)3,42
13787.0,1.1293607787587727,1s+2(0)0,1s+1(1)1 2p+2(0)1,42
