DELTA_E_AI,RECOMB_STRENGTH,INITAL_NAME,TRANSIENT_NAME,CHARGE_STATE
97580.0,3.619999999805441e-08,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+4,92
97893.0,5.827799999599973e-08,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2p-2 2p+4,92
79656.0,0.9882137883848222,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-2 2p+1(3)4,93
79722.0,1.0460109978955445,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-2 2p+1(3)2,93
85301.0,0.4067041242954481,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)6,93
85322.0,0.2750285871615438,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)4,93
85365.0,0.13219376055730425,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)2,93
85424.0,0.07328893368083576,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(0)2,93
85487.0,0.23578833683838502,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)0 2p+2(4)4,93
85567.0,0.02433215139495634,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)0 2p+2(0)0,93
85578.0,0.0,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)6,93
85721.0,1.8576999996699404e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)4,93
85776.0,1.846999928967215e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(0)2,93
85827.0,1.5706999996640428e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)2,93
85985.0,4.507999999712106e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-2 2p+2(4)4,93
86077.0,0.00016770982665500515,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-2 2p+2(0)0,93
91130.0,2.719399998222738e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p+3(3)4,93
91196.0,5.259799950986139e-06,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p+3(3)2,93
91316.0,0.0,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)6,93
91340.0,2.1668999999256855e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+3(3)4,93
91432.0,1.815999994874613e-06,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)2,93
91464.0,1.2165999821628146e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)4,93
91500.0,4.712399905459693e-06,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)0,93
91531.0,1.2183999775680065e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+3(3)2,93
91732.0,2.9529998822978565e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+3(3)4,93
91755.0,2.3166998408162797e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+3(3)2,93
91945.0,5.346099999614958e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-2 2p+3(3)4,93
92011.0,4.4088999999744645e-09,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-2 2p+3(3)2,93
97217.0,4.1339999999626875e-09,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p+4,93
97517.0,2.201299999673293e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p+4,93
97657.0,4.426699999663234e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-1(1)2 2p+4,93
97801.0,1.4919999998514513e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-1(1)0 2p+4,93
73679.0,0.4997757899147837,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-2,94
79360.0,1.921895337996748,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)5,94
79382.0,0.44262495937680274,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)3,94
79413.0,0.021356362805215676,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)1,94
79536.0,1.6927327491216926,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)0 2p+1(3)3,94
79576.0,6.48829999999562e-10,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+1(3)5,94
79698.0,0.0015367982999945338,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+1(3)3,94
79778.0,0.004029179980637936,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+1(3)1,94
79959.0,0.023840387540501815,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-2 2p+1(3)3,94
85179.0,0.7210957445948685,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p+2(4)5,94
85263.0,0.35615929865706025,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p+2(4)3,94
85293.0,4.30509999998021e-09,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+2(4)5,94
85311.0,0.10091158831236473,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p+2(0)1,94
85406.0,4.2234999888152165e-06,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)3,94
85448.0,0.0,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)5,94
85465.0,4.4189998227504074e-05,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(0)3,94
85505.0,6.461099995325892e-07,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)1,94
85518.0,7.011699892196979e-06,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+2(0)1,94
85538.0,1.7598999981030819e-06,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+2(4)3,94
85714.0,3.270499999923673e-08,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+2(4)5,94
85744.0,7.3169999999078945e-09,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+2(4)3,94
85817.0,0.00031458977689340225,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+2(0)1,94
85841.0,0.0002849999337819036,1s+2 2s+2(0)0,1s+1(1)1 2p-2 2p+2(4)5,94
85924.0,0.00013809999028618452,1s+2 2s+2(0)0,1s+1(1)1 2p-2 2p+2(4)3,94
85975.0,0.00011094998073370449,1s+2 2s+2(0)0,1s+1(1)1 2p-2 2p+2(0)1,94
91178.0,1.867699999999654e-10,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p+3(3)5,94
91300.0,9.465299930477024e-06,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p+3(3)3,94
91379.0,1.8022999574142554e-05,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p+3(3)1,94
91560.0,6.052599574350413e-05,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p+3(3)3,94
91594.0,6.022899999764606e-08,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)2 2p+3(3)5,94
91616.0,1.6553999999789784e-08,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)2 2p+3(3)3,94
91646.0,4.327899999980095e-09,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)2 2p+3(3)1,94
91770.0,3.476799999999011e-10,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)0 2p+3(3)3,94
97514.0,5.7617999994564166e-08,1s+2 2s+2(0)0,1s+1(1)1 2p+4,94
73087.0,1.6023536964792686,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p-1(1)2,95
73233.0,0.3443332202400934,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p-1(1)0,95
73278.0,0.19317816085568873,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-2,95
73584.0,0.06537214477732951,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p-2,95
78946.0,0.7370029951310235,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p+1(3)4,95
78976.0,1.1433687052581278,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)6,95
79001.0,0.059285997564141164,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+1(3)4,95
79014.0,0.19874816213540375,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p+1(3)2,95
79097.0,0.03174490291848663,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)2,95
79127.0,1.1083823166441693,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)4,95
79166.0,0.004642979341414597,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)0,95
79197.0,0.7178617406619475,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+1(3)2,95
79398.0,1.0310104427647784,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+1(3)4,95
79422.0,0.09880488763286505,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+1(3)2,95
79456.0,0.026936154636010946,1s+2 2s+1(1)1,1s+1(1)1 2p-2 2p+1(3)4,95
79524.0,0.006896822470816432,1s+2 2s+1(1)1,1s+1(1)1 2p-2 2p+1(3)2,95
84840.0,0.4385498408980757,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(4)6,95
84986.0,0.24567336636633172,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(4)4,95
85043.0,0.06941110277157793,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(0)2,95
85094.0,0.12886854836347503,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(4)2,95
85218.0,5.707299999441972e-08,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)2 2p+2(4)4,95
85253.0,0.2828365452154185,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p+2(4)4,95
85262.0,1.1615999998009753e-07,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)2 2p+2(4)2,95
85325.0,0.0001313499586052621,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)2 2p+2(0)2,95
85347.0,0.023527641877919652,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p+2(0)0,95
85386.0,2.9762999998723515e-08,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)0 2p+2(4)4,95
85471.0,6.35169541776871e-05,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)0 2p+2(0)0,95
91153.0,3.376199727517148e-05,1s+2 2s+1(1)1,1s+1(1)1 2p+3(3)4,95
91221.0,9.045099857216058e-06,1s+2 2s+1(1)1,1s+1(1)1 2p+3(3)2,95
72706.0,2.8567317101265073,1s+2(0)0,1s+1(1)1 2s+2,96
72707.0,0.19601943010227618,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3,96
72763.0,0.16590072288200514,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1,96
73066.0,4.280681214158549,1s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1,96
73071.0,0.002022087707881093,1s+2(0)0,1s+1(1)1 2p-2,96
78582.0,0.0,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p+1(3)5,96
78706.0,0.10880472022320616,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p+1(3)3,96
78787.0,0.31163869714119324,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p+1(3)1,96
78839.0,2.025589425802551,1s+2(0)0,1s+1(1)1 2p-1(1)2 2p+1(3)5,96
78861.0,0.4678695544261395,1s+2(0)0,1s+1(1)1 2p-1(1)2 2p+1(3)3,96
78893.0,0.02272229473156033,1s+2(0)0,1s+1(1)1 2p-1(1)2 2p+1(3)1,96
78971.0,1.648594472067762,1s+2(0)0,1s+1(1)1 2s+1(1)0 2p+1(3)3,96
79018.0,1.7860587746274013,1s+2(0)0,1s+1(1)1 2p-1(1)0 2p+1(3)3,96
84787.0,0.7545341960489281,1s+2(0)0,1s+1(1)1 2p+2(4)5,96
84873.0,0.3719128118706891,1s+2(0)0,1s+1(1)1 2p+2(4)3,96
84925.0,0.0852118694492927,1s+2(0)0,1s+1(1)1 2p+2(0)1,96
